card_id;marka_auto;model_auto;kuzov_pokolenie;product_name;name_model_len;price_model;catalog;file_name;path;;;;
3;BMW;3 Series;F30 [2011-2015];"Светодиодные линзы для фар BMW 3 Series F30 [2011-2015] ZKW би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";13900;cards_auto/BMW/3 Series/F30_2011-2015/;svetodiodnyie-linzyi-dlya-far-bmw-3-series-f30-2011-2015-zkw-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;./cards_auto/BMW/3 Series/F30_2011-2015/svetodiodnyie-linzyi-dlya-far-bmw-3-series-f30-2011-2015-zkw-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;;;;
3;BMW;3 Series;F30 [2011-2015];"Светодиодные линзы для фар BMW 3 Series F30 [2011-2015] ZKW би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";"Светодиодные би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";12900;cards_auto/BMW/3 Series/F30_2011-2015/;svetodiodnyie-linzyi-dlya-far-bmw-3-series-f30-2011-2015-zkw-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;./cards_auto/BMW/3 Series/F30_2011-2015/svetodiodnyie-linzyi-dlya-far-bmw-3-series-f30-2011-2015-zkw-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;;;;
4;BMW;2-Series;I (F22) дорестайл [2014-2017];"Светодиодные линзы для фар BMW 2-Series I (F22) дорестайл [2014-2017] би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";"Светодиодные би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";10900;cards_auto/BMW/2-Series/I_(F22)_dorestayl_2014-2017/;svetodiodnyie-linzyi-dlya-far-bmw-2-series-i-(f22)-dorestayl-2014-2017-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;./cards_auto/BMW/2-Series/I_(F22)_dorestayl_2014-2017/svetodiodnyie-linzyi-dlya-far-bmw-2-series-i-(f22)-dorestayl-2014-2017-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;;;;
4;BMW;2-Series;I (F22) дорестайл [2014-2017];"Светодиодные линзы для фар BMW 2-Series I (F22) дорестайл [2014-2017] би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";13900;cards_auto/BMW/2-Series/I_(F22)_dorestayl_2014-2017/;svetodiodnyie-linzyi-dlya-far-bmw-2-series-i-(f22)-dorestayl-2014-2017-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;./cards_auto/BMW/2-Series/I_(F22)_dorestayl_2014-2017/svetodiodnyie-linzyi-dlya-far-bmw-2-series-i-(f22)-dorestayl-2014-2017-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;;;;
4;BMW;2-Series;I (F22) дорестайл [2014-2017];"Светодиодные линзы для фар BMW 2-Series I (F22) дорестайл [2014-2017] би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";13900;cards_auto/BMW/2-Series/I_(F22)_dorestayl_2014-2017/;svetodiodnyie-linzyi-dlya-far-bmw-2-series-i-(f22)-dorestayl-2014-2017-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;./cards_auto/BMW/2-Series/I_(F22)_dorestayl_2014-2017/svetodiodnyie-linzyi-dlya-far-bmw-2-series-i-(f22)-dorestayl-2014-2017-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;;;;
4;BMW;2-Series;I (F22) дорестайл [2014-2017];"Светодиодные линзы для фар BMW 2-Series I (F22) дорестайл [2014-2017] би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";"Светодиодные би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";12900;cards_auto/BMW/2-Series/I_(F22)_dorestayl_2014-2017/;svetodiodnyie-linzyi-dlya-far-bmw-2-series-i-(f22)-dorestayl-2014-2017-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;./cards_auto/BMW/2-Series/I_(F22)_dorestayl_2014-2017/svetodiodnyie-linzyi-dlya-far-bmw-2-series-i-(f22)-dorestayl-2014-2017-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;;;;
5;BMW;X1;I (E84) [2009-2015];"Светодиодные линзы для фар BMW X1 I (E84) [2009-2015] 4 линзы би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";"Светодиодные би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";10900;cards_auto/BMW/X1/I_(E84)_2009-2015/;svetodiodnyie-linzyi-dlya-far-bmw-x1-i-(e84)-2009-2015-4-linzyi-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;./cards_auto/BMW/X1/I_(E84)_2009-2015/svetodiodnyie-linzyi-dlya-far-bmw-x1-i-(e84)-2009-2015-4-linzyi-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;;;;
5;BMW;X1;I (E84) [2009-2015];"Светодиодные линзы для фар BMW X1 I (E84) [2009-2015] 4 линзы би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";13900;cards_auto/BMW/X1/I_(E84)_2009-2015/;svetodiodnyie-linzyi-dlya-far-bmw-x1-i-(e84)-2009-2015-4-linzyi-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;./cards_auto/BMW/X1/I_(E84)_2009-2015/svetodiodnyie-linzyi-dlya-far-bmw-x1-i-(e84)-2009-2015-4-linzyi-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;;;;
5;BMW;X1;I (E84) [2009-2015];"Светодиодные линзы для фар BMW X1 I (E84) [2009-2015] 4 линзы би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";13900;cards_auto/BMW/X1/I_(E84)_2009-2015/;svetodiodnyie-linzyi-dlya-far-bmw-x1-i-(e84)-2009-2015-4-linzyi-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;./cards_auto/BMW/X1/I_(E84)_2009-2015/svetodiodnyie-linzyi-dlya-far-bmw-x1-i-(e84)-2009-2015-4-linzyi-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;;;;
5;BMW;X1;I (E84) [2009-2015];"Светодиодные линзы для фар BMW X1 I (E84) [2009-2015] 4 линзы би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";"Светодиодные би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";12900;cards_auto/BMW/X1/I_(E84)_2009-2015/;svetodiodnyie-linzyi-dlya-far-bmw-x1-i-(e84)-2009-2015-4-linzyi-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;./cards_auto/BMW/X1/I_(E84)_2009-2015/svetodiodnyie-linzyi-dlya-far-bmw-x1-i-(e84)-2009-2015-4-linzyi-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;;;;
6;BMW;X6;I (E71) дорестайл [2007-2012];"Светодиодные линзы для фар BMW X6 I (E71) дорестайл [2007-2012] HiBeam би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";"Светодиодные би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";10900;cards_auto/BMW/X6/I_(E71)_dorestayl_2007-2012/;svetodiodnyie-linzyi-dlya-far-bmw-x6-i-(e71)-dorestayl-2007-2012-hibeam-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;./cards_auto/BMW/X6/I_(E71)_dorestayl_2007-2012/svetodiodnyie-linzyi-dlya-far-bmw-x6-i-(e71)-dorestayl-2007-2012-hibeam-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;;;;
6;BMW;X6;I (E71) дорестайл [2007-2012];"Светодиодные линзы для фар BMW X6 I (E71) дорестайл [2007-2012] HiBeam би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";13900;cards_auto/BMW/X6/I_(E71)_dorestayl_2007-2012/;svetodiodnyie-linzyi-dlya-far-bmw-x6-i-(e71)-dorestayl-2007-2012-hibeam-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;./cards_auto/BMW/X6/I_(E71)_dorestayl_2007-2012/svetodiodnyie-linzyi-dlya-far-bmw-x6-i-(e71)-dorestayl-2007-2012-hibeam-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;;;;
6;BMW;X6;I (E71) дорестайл [2007-2012];"Светодиодные линзы для фар BMW X6 I (E71) дорестайл [2007-2012] HiBeam би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";13900;cards_auto/BMW/X6/I_(E71)_dorestayl_2007-2012/;svetodiodnyie-linzyi-dlya-far-bmw-x6-i-(e71)-dorestayl-2007-2012-hibeam-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;./cards_auto/BMW/X6/I_(E71)_dorestayl_2007-2012/svetodiodnyie-linzyi-dlya-far-bmw-x6-i-(e71)-dorestayl-2007-2012-hibeam-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;;;;
6;BMW;X6;I (E71) дорестайл [2007-2012];"Светодиодные линзы для фар BMW X6 I (E71) дорестайл [2007-2012] HiBeam би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";"Светодиодные би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";12900;cards_auto/BMW/X6/I_(E71)_dorestayl_2007-2012/;svetodiodnyie-linzyi-dlya-far-bmw-x6-i-(e71)-dorestayl-2007-2012-hibeam-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;./cards_auto/BMW/X6/I_(E71)_dorestayl_2007-2012/svetodiodnyie-linzyi-dlya-far-bmw-x6-i-(e71)-dorestayl-2007-2012-hibeam-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;;;;
7;BMW;Z4;II (E89) дорестайл [2009-2013];"Светодиодные линзы для фар BMW Z4 II (E89) дорестайл [2009-2013] ксеноновая оптика би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";"Светодиодные би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";10900;cards_auto/BMW/Z4/II_(E89)_dorestayl_2009-2013/;svetodiodnyie-linzyi-dlya-far-bmw-z4-ii-(e89)-dorestayl-2009-2013-ksenonovaya-optika-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;./cards_auto/BMW/Z4/II_(E89)_dorestayl_2009-2013/svetodiodnyie-linzyi-dlya-far-bmw-z4-ii-(e89)-dorestayl-2009-2013-ksenonovaya-optika-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;;;;
7;BMW;Z4;II (E89) дорестайл [2009-2013];"Светодиодные линзы для фар BMW Z4 II (E89) дорестайл [2009-2013] ксеноновая оптика би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";13900;cards_auto/BMW/Z4/II_(E89)_dorestayl_2009-2013/;svetodiodnyie-linzyi-dlya-far-bmw-z4-ii-(e89)-dorestayl-2009-2013-ksenonovaya-optika-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;./cards_auto/BMW/Z4/II_(E89)_dorestayl_2009-2013/svetodiodnyie-linzyi-dlya-far-bmw-z4-ii-(e89)-dorestayl-2009-2013-ksenonovaya-optika-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;;;;
7;BMW;Z4;II (E89) дорестайл [2009-2013];"Светодиодные линзы для фар BMW Z4 II (E89) дорестайл [2009-2013] ксеноновая оптика би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";13900;cards_auto/BMW/Z4/II_(E89)_dorestayl_2009-2013/;svetodiodnyie-linzyi-dlya-far-bmw-z4-ii-(e89)-dorestayl-2009-2013-ksenonovaya-optika-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;./cards_auto/BMW/Z4/II_(E89)_dorestayl_2009-2013/svetodiodnyie-linzyi-dlya-far-bmw-z4-ii-(e89)-dorestayl-2009-2013-ksenonovaya-optika-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;;;;
7;BMW;Z4;II (E89) дорестайл [2009-2013];"Светодиодные линзы для фар BMW Z4 II (E89) дорестайл [2009-2013] ксеноновая оптика би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";"Светодиодные би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";12900;cards_auto/BMW/Z4/II_(E89)_dorestayl_2009-2013/;svetodiodnyie-linzyi-dlya-far-bmw-z4-ii-(e89)-dorestayl-2009-2013-ksenonovaya-optika-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;./cards_auto/BMW/Z4/II_(E89)_dorestayl_2009-2013/svetodiodnyie-linzyi-dlya-far-bmw-z4-ii-(e89)-dorestayl-2009-2013-ksenonovaya-optika-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;;;;
8;BMW;5 Series Gran Turismo;F07 [2009-2016];"Светодиодные линзы для фар BMW 5 Series Gran Turismo F07 [2009-2016] Hi Beam би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";"Светодиодные би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";10900;cards_auto/BMW/5 Series Gran Turismo/F07_2009-2016/;svetodiodnyie-linzyi-dlya-far-bmw-5-series-gran-turismo-f07-2009-2016-hi-beam-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;./cards_auto/BMW/5 Series Gran Turismo/F07_2009-2016/svetodiodnyie-linzyi-dlya-far-bmw-5-series-gran-turismo-f07-2009-2016-hi-beam-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;;;;
8;BMW;5 Series Gran Turismo;F07 [2009-2016];"Светодиодные линзы для фар BMW 5 Series Gran Turismo F07 [2009-2016] Hi Beam би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";13900;cards_auto/BMW/5 Series Gran Turismo/F07_2009-2016/;svetodiodnyie-linzyi-dlya-far-bmw-5-series-gran-turismo-f07-2009-2016-hi-beam-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;./cards_auto/BMW/5 Series Gran Turismo/F07_2009-2016/svetodiodnyie-linzyi-dlya-far-bmw-5-series-gran-turismo-f07-2009-2016-hi-beam-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;;;;
8;BMW;5 Series Gran Turismo;F07 [2009-2016];"Светодиодные линзы для фар BMW 5 Series Gran Turismo F07 [2009-2016] Hi Beam би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";13900;cards_auto/BMW/5 Series Gran Turismo/F07_2009-2016/;svetodiodnyie-linzyi-dlya-far-bmw-5-series-gran-turismo-f07-2009-2016-hi-beam-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;./cards_auto/BMW/5 Series Gran Turismo/F07_2009-2016/svetodiodnyie-linzyi-dlya-far-bmw-5-series-gran-turismo-f07-2009-2016-hi-beam-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;;;;
8;BMW;5 Series Gran Turismo;F07 [2009-2016];"Светодиодные линзы для фар BMW 5 Series Gran Turismo F07 [2009-2016] Hi Beam би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";"Светодиодные би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";12900;cards_auto/BMW/5 Series Gran Turismo/F07_2009-2016/;svetodiodnyie-linzyi-dlya-far-bmw-5-series-gran-turismo-f07-2009-2016-hi-beam-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;./cards_auto/BMW/5 Series Gran Turismo/F07_2009-2016/svetodiodnyie-linzyi-dlya-far-bmw-5-series-gran-turismo-f07-2009-2016-hi-beam-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;;;;
9;BMW;X5;III (F15) [2013-2018];"Светодиодные линзы для фар BMW X5 III (F15) [2013-2018] HiBeam би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";"Светодиодные би-лед модули ORIONLIGHT NEPTUN 3"" 12V 5000K 51W 58W";10900;cards_auto/BMW/X5/III_(F15)_2013-2018/;svetodiodnyie-linzyi-dlya-far-bmw-x5-iii-(f15)-2013-2018-hibeam-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;./cards_auto/BMW/X5/III_(F15)_2013-2018/svetodiodnyie-linzyi-dlya-far-bmw-x5-iii-(f15)-2013-2018-hibeam-bi-led-moduli-orionlight-neptun-3-12v-5000k-51w-58w.jpg;;;;
9;BMW;X5;III (F15) [2013-2018];"Светодиодные линзы для фар BMW X5 III (F15) [2013-2018] HiBeam би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 6000K 54W 74W";13900;cards_auto/BMW/X5/III_(F15)_2013-2018/;svetodiodnyie-linzyi-dlya-far-bmw-x5-iii-(f15)-2013-2018-hibeam-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;./cards_auto/BMW/X5/III_(F15)_2013-2018/svetodiodnyie-linzyi-dlya-far-bmw-x5-iii-(f15)-2013-2018-hibeam-bi-led-moduli-orionlight-space-ship-3-12v-6000k-54w-74w.jpg;;;;
9;BMW;X5;III (F15) [2013-2018];"Светодиодные линзы для фар BMW X5 III (F15) [2013-2018] HiBeam би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";"Светодиодные би-лед модули ORIONLIGHT SPACE SHIP 3"" 12V 5500K 54W 74W";13900;cards_auto/BMW/X5/III_(F15)_2013-2018/;svetodiodnyie-linzyi-dlya-far-bmw-x5-iii-(f15)-2013-2018-hibeam-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;./cards_auto/BMW/X5/III_(F15)_2013-2018/svetodiodnyie-linzyi-dlya-far-bmw-x5-iii-(f15)-2013-2018-hibeam-bi-led-moduli-orionlight-space-ship-3-12v-5500k-54w-74w.jpg;;;;
9;BMW;X5;III (F15) [2013-2018];"Светодиодные линзы для фар BMW X5 III (F15) [2013-2018] HiBeam би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";"Светодиодные би-лед модули ORIONLIGHT A14 3"" 12V 5500K 60W 65W";12900;cards_auto/BMW/X5/III_(F15)_2013-2018/;svetodiodnyie-linzyi-dlya-far-bmw-x5-iii-(f15)-2013-2018-hibeam-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;./cards_auto/BMW/X5/III_(F15)_2013-2018/svetodiodnyie-linzyi-dlya-far-bmw-x5-iii-(f15)-2013-2018-hibeam-bi-led-moduli-orionlight-a14-3-12v-5500k-60w-65w.jpg;;;;
